"* MD (Multifield Daily Data Format)"
"* 以 '*' 字元開頭的文字為格式說明"
"* 以 '#' 字元開頭的文字為氣象資料欄位標題列 7個字元一組"
********************************************************************************
"* 格式說明:"
"* 站碼(stno) 時間(yyyymmdd) 氣象資料欄位"
"* 1~6        8~15           第16個字元開始 每個氣象要素(欄位) 7個字元"
"* 時間為當地時間(Local Time)"
"* yyyy:西元年"
"* mm:月"
"* dd:日"
********************************************************************************
"* 欄位標題說明:"
"* 極值發生時間欄位格式為 ddhhmm 6位字元  其中 dd:日期(1~31日) hh:小時(00~23時) mm:分鐘(00~59分)"
"*"
"* CD11 平均雲量(10分量)"
"* EP01 20cm箱外蒸發量(mm)"
"* EP04 20cm箱內蒸發量(mm)"
"* EP05 A型蒸發量(mm)"
"* GR01 全天空日射量(MJ/㎡)"
"* GR02 最大小時全天空日射量(MJ/㎡)"
"* GR03 最大小時全天空日射量時間"
"* PP01 降水量(mm)"
"* PP02 降水時數(hour)"
"* PP03 最大十分鐘降水量(mm)"
"* PP04 最大十分鐘降水量起始時間"
"* PP05 最大六十分鐘降水量(mm)"
"* PP06 最大六十分鐘降水量起始時間"
"* PS01 平均測站氣壓(hPa)                "
"* PS02 平均海平面氣壓(hPa)"
"* PS03 最高測站氣壓(hPa)                  "
"* PS04 最高測站氣壓時間"
"* PS05 最低測站氣壓(hPa)"
"* PS06 最低測站氣壓時間"
"* PS07 最高海平面氣壓(hPa)"
"* PS08 最高海平面氣壓時間"
"* PS09 最低海平面氣壓(hPa)"
"* PS10 最低海平面氣壓時間"
"* RH01 平均相對溼度(%)"
"* RH02 最大相對溼度(%)"
"* RH03 最大相對溼度時間"
"* RH04 最小相對溼度(%)"
"* RH05 最小相對溼度時間"
"* SD01 雪深(cm)"
"* SS01 日照時數(hour)"
"* SS02 日照率(%)"
"* ST01 天空狀況"
"* ST02 地面狀況"
"* ST03 雷暴"
"* ST04 液態降水1"
"* ST05 液態降水2"
"* ST06 固態降水1"
"* ST07 固態降水2"
"* ST08 固態降水3"
"* ST09 視障1"
"* ST10 視障2"
"* ST11 光象1"
"* ST12 光象2"
"* TB01 黑球溫度(℃)"
"* TD01 平均露點溫度(℃)"
"* TD02 最高露點溫度(℃)"
"* TD03 最高露點溫度時間"
"* TD04 最低露點溫度(℃)"
"* TD05 最低露點溫度時間"
"* TG01 最低草溫(℃)"
"* TS01 地表溫度0cm(℃)"
"* TS02 地中溫度5cm(℃)"
"* TS03 地中溫度10cm(℃)"
"* TS04 地中溫度20cm(℃)"
"* TS05 地中溫度30cm(℃)"
"* TS06 地中溫度50cm(℃)"
"* TS07 地中溫度100cm(℃)"
"* TS08 地中溫度200cm(℃)"
"* TS09 地中溫度300cm(℃)"
"* TS10 地中溫度500cm(℃)"
"* TW01 平均溼球溫度(℃)"
"* TX01 平均氣溫(℃)"
"* TX02 絕對最高氣溫(℃)"
"* TX03 絕對最高氣溫時間"
"* TX04 絕對最低氣溫(℃)"
"* TX05 絕對最低氣溫時間"
"* TX10 氣溫日較差(℃)"
"* VP01 平均水氣壓(hPa)"
"* VP02 最大水氣壓(hPa)"
"* VP03 最大水氣壓時間"
"* VP04 最小水氣壓(hPa)"
"* VP05 最小水氣壓時間"
"* VS01 平均能見度(km)"
"* WD01 平均風風速(m/s)"
"* WD02 平均風風向(360 degree)"
"* WD03 平均風程(m/s)"
"* WD04 最大平均風風速(m/s)"
"* WD05 最大平均風風向(360 degree)"
"* WD06 最大平均風時間"
"* WD07 最大瞬間風風速(m/s)"
"* WD08 最大瞬間風風向(360 degree)"
"* WD09 最大瞬間風時間"
"* UV01 紫外線指數"
********************************************************************************
"* 特殊值:"
"* -999.1:儀器故障待修"
"* -9.6/-999.6:資料累計於後"
"* -9.5/-99.5/-999.5/-999.5/-9999.5:因故障而無資料"
"* -9.7/-99.7/-999.7/-999.7/-9999.7:因不明原因而無資料"
"* -9.8:雨跡(Trace)"
"* None:未觀測而無資料"
********************************************************************************
# stno, yyyymmdd,     TX01,     WD01,     WD02,     PP01,     PP02,     UV01,     UV03
467410, 20220801,     29.3,      2.2,    190.0,     -9.8,      0.5,    11.36,   120000
467410, 20220802,     27.5,      1.9,    200.0,     91.0,      3.6,     4.04,   140000
467410, 20220803,     28.7,      2.0,     20.0,     -9.8,      0.2,    11.09,   110000
467410, 20220804,     29.2,      2.6,    190.0,      2.0,      0.7,     11.2,   110000
467410, 20220805,     29.7,      2.3,     10.0,      1.0,      0.8,    14.32,   120000
467410, 20220806,     29.6,      2.1,    300.0,      0.5,      0.9,    12.18,   130000
467410, 20220807,     28.7,      1.8,    100.0,     36.5,      2.8,     7.86,   120000
467410, 20220808,     29.5,      1.8,     60.0,      0.0,      0.0,    10.59,   110000
467410, 20220809,     29.1,      1.9,     20.0,     11.5,      1.7,     7.48,   120000
467410, 20220810,     28.9,      2.4,    360.0,     29.0,      3.1,    13.28,   130000
467410, 20220811,     28.8,      2.0,    280.0,      2.0,      2.6,     10.2,   120000
467410, 20220812,     28.6,      2.1,    110.0,      3.5,      2.7,    14.75,   130000
